"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"100506388",0.7745
"100506403",-1.9252
"100506406",-1.5414
"100506409",-0.2165
"100506413",-1.789
"100506421",-2.9437
"100506428",-2.9586
"100506433",-0.177
"100506436",-1.52335
"100506443",-2.4288
"100506451",-1.7732
"100506457",-3.2671
"100506462",0.7867
"100506465",3.4608
"100506469",2.2556
"100506470",-4.9841
"100506473",3.4963
"100506475",-2.99325
"100506492",-2.1636
"100506495",0.359
"100506498",1.5373
"100506504",-5.0064
"100506526",-3.5757
"100506527",-3.2053
"100506530",-2.2855
"100506540",-1.4902
"100506542",-2.0074
"100506555",1.0854
"100506571",-2.7107
"100506581",-0.327333333333333
"100506585",-1.6131
"100506599",-0.0359499999999999
"100506603",0.7197
"100506622",-1.0669
"100506649",2.0564
"100506655",-1.00525
"100506658",4.15953333333333
"100506660",5.1778
"100506668",0.6351
"100506677",-4.2039
"100506679",-3.7655
"100506680",0.7779
"100506681",-1.2035
"100506686",4.4341
"100506696",0.9138
"100506697",-1.5211
"100506710",1.38473333333333
"100506713",1.5227
"100506714",-1.7903
"100506724",-2.1548
"100506730",1.71735
"100506731",-0.571
"100506733",-2.30875
"100506742",-0.8351
"100506753",0.2575
"100506755",-4.7131
"100506757",4.2018
"100506765",-1.0396
"100506769",-2.4977
"100506776",3.9478
"100506779",0.33225
"100506783",3.7372
"100506790",-4.3137
"100506791",-0.7673
"100506795",-0.8945
"100506797",-2.8017
"100506815",0.0587
"100506826",0.3851
"100506827",2.1788
"100506834",0.43755
"100506840",-1.57215
"100506844",1.0457
"100506858",-5.1279
"100506860",-1.74135
"100506866",0.20365
"100506874",1.1082
"100506885",-1.6645
"100506895",-2.7951
"100506897",-6.5187
"100506898",-3.5944
"100506907",-2.89343333333333
"100506930",6.0927
"100506939",-0.3275
"100506963",4.8767
"100506965",0.2836
"100506994",-2.3012
"100506999",1.1531
"100507006",4.4861
"100507008",7.3197
"100507027",-0.3611
"100507034",-2.6573
"100507043",-12.3206
"100507044",0.2727
"100507050",-2.7231
"100507057",2.73743333333333
"100507058",-1.0046
"100507059",-2.2622
"100507062",4.1648
"100507064",-1.8687
"100507066",0.1925
"100507086",-2.1275
"100507098",-1.9611
"100507099",1.4403
"100507114",-2.0647
"100507117",10.1525
"100507135",-0.8498
"100507140",-1.4601
"100507143",-0.5824
"100507156",-3.7659
"100507171",0.4934
"100507173",-0.2384
"100507194",-2.2845
"100507201",0.725
"100507203",1.068
"100507206",-2.3438
"100507217",0.5449
"100507218",-2.7687
"100507240",-1.1036
"100507244",1.5295
"100507246",-1.0482
"100507249",-1.1869
"100507250",0.185
"100507254",-0.1845
"100507257",-1.4366
"100507261",-2.8049
"100507266",2.9531
"100507267",-3.1386
"100507274",-1.53523333333333
"100507277",-2.0646
"100507290",-1.4122
"100507297",3.9839
"100507299",-2.3584
"100507300",-1.41735
"100507303",2.7049
"100507316",3.21135
"100507331",-2.5543
"100507351",-2.2134
"100507362",-2.8166
"100507377",1.3059
"100507384",-2.5514
"100507388",-3.2729
"100507389",-2.3284
"100507391",-3.744
"100507392",-3.7386
"100507398",3.59445
"100507410",-0.8843
"100507412",-1.6077
"100507419",-1.56715
"100507421",-1.7723
"100507423",-3.0085
"100507428",0.9151
"100507431",0.4832
"100507433",-3.8129
"100507435",-2.6022
"100507436",-2.8412
"100507443",-2.0713
"100507459",5.719
"100507461",-0.714
"100507462",2.9579
"100507466",0.241
"100507468",1.4913
"100507470",-3.0651
"100507475",1.1366
"100507487",1.4678
"100507495",-1.9804
"100507501",-3.8628
"100507506",0.2818
"100507524",4.2004
"100507527",-0.6355
"100507530",-2.7226
"100507533",-0.5911
"100507534",1.0349
"100507537",-0.2004
"100507540",-4.4124
"100507557",3.226
"100507567",1.45285
"100507584",-1.80235
"100507599",4.2346
"100507600",-3.2037
"100507602",1.5511
"100507605",0.8397
"100507616",3.59325
"100507629",-0.5511
"100507632",0.443
"100507634",2.34565
"100507650",-3.444
"100507670",-0.664
"100508631",-0.2725
"10051",1.9405
"10052",-6.2999
"100526820",4.607
"100527964",3.7122
"100528062",2.9415
"10053",-0.00755000000000006
"100533106",1.3945
"100533178",-1.6327
"100533182",0.8343
"100533184",-4.4135
"100533789",1.7581
"10054",0.01855
"10055",-5.1921
"10056",2.84445
"10057",6.6377
"10058",1.1485
"10059",-0.6472
"1006",7.98136666666667
"10060",-2.95965
"10061",-0.616833333333333
"100616668",-1.56595
"10062",-2.2216
"100628307",-1.84
"100628315",0.1705
"10063",3.7487
"100630918",0.2533
"100631378",-2.39675
"100642175",-1.5227
"100652740",-1.8562
"100652768",-1.6776
"100652770",-1.77215
"100652772",4.6814
"100652791",0.9316
"100652824",-2.2844
"100652853",3.6169
"100652856",-1.3982
"100652857",-1.1176
"100652911",-3.8122
"100652929",-4.2703
"100652999",-2.4111
"10066",-3.17895
"10067",-2.803
"10068",-2.161
"100689073",-2.5629
"100689074",0.7487
