"","GSE45899_MGG4.GBM_vs_Human.embryonic.NSC"
"100507254",-0.0699
"100507257",-0.2716
"100507261",-0.8333
"100507266",0.8917
"100507267",-0.6069
"100507274",-0.9908
"100507277",-0.4564
"100507290",-0.31965
"100507297",2.2463
"100507299",-0.5801
"100507300",-0.47505
"100507303",0.6229
"100507316",1.5523
"100507331",-0.7262
"100507351",-0.5463
"100507362",-0.7563
"100507377",0.2502
"100507384",-0.6638
"100507388",-1.4839
"100507389",-0.5452
"100507391",-0.7818
"100507392",-1.996
"100507398",1.4486
"100507410",-0.1953
"100507412",-0.24635
"100507419",-0.7215
"100507421",-0.3027
"100507423",-0.5377
"100507428",0.2344
"100507431",0.1032
"100507433",-1.2266
"100507435",-0.4562
"100507436",-1.1698
"100507443",-0.8544
"100507459",3.1955
"100507461",-0.136
"100507462",1.0714
"100507466",0.0363
"100507468",0.6009
"100507470",-0.5177
"100507475",0.6793
"100507487",0.3854
"100507495",-0.3406
"100507501",-1.124
"100507506",0.05
"100507524",0.8451
"100507527",-0.1553
"100507530",-0.7945
"100507533",-0.3081
"100507534",0.2487
"100507537",-0.0426
"100507540",-1.3298
"100507557",1.7893
"100507567",0.624
"100507584",-1.00585
"100507599",1.7792
"100507600",-0.5703
"100507602",0.74815
"100507605",0.1784
"100507616",0.7244
"100507629",-0.1491
"100507632",0.0659
"100507634",0.989
"100507650",-0.8667
"100507670",-0.1391
"100508631",-0.0532
"10051",0.182233333333333
"10052",-1.534425
"100526820",2.1181
"100527964",1.9286
"100528062",0.8232
"10053",-0.13255
"100533106",0.4086
"100533178",-0.2881
"100533182",0.4878
"100533184",-1.2913
"100533789",0.6517
"10054",0.0276
"10055",-2.4115
"10056",1.0518
"10057",1.1285
"10058",0.2717
"10059",0.0262
"1006",1.7547
"10060",-0.63105
"10061",-0.1381
"100616668",-0.3693
"10062",-0.6639
"100628307",-0.8373
"100628315",0.026
"10063",1.2528
"100630918",0.0541
"100631378",-0.5737
"100642175",-1.2206
"100652740",-0.5731
"100652768",-0.9195
"100652770",-0.44755
"100652772",1.2772
"100652791",0.2619
"100652824",-0.8362
"100652853",0.6221
"100652856",-0.27655
"100652857",-0.3307
"100652911",-1.0253
"100652929",-1.3324
"100652999",-0.5828
"10066",-0.9804
"10067",-0.6449
"10068",-0.85975
"100689073",-0.88655
"100689074",0.1775
"10069",0.2851
"1007",-0.0434
"10071",-1.31815
"10072",-1.4646
"10073",0.2234
"10075",0.22805
"10076",-0.5077
"10077",-0.72835
"10078",-1.1831
"10079",-0.7614
"1008",0.4609
"10081",0.5618
"10082",3.3679
"100820829",-0.5478
"10083",-1.32365
"10084",0.51105
"100847062",-0.7749
"10085",1.78946666666667
"100852407",-0.2631
"100852408",-0.3013
"100852409",-0.6361
"100859921",-0.3731
"100859930",-0.7637
"10086",-1.1746
"100861523",-0.5641
"100861541",-0.9351
"100861543",-0.8815
"100861544",-0.6893
"100861545",0.0215
"100861546",-0.0631
"100861547",-0.0215
"100861548",0.8271
"100861552",0.5076
"100861553",-0.0948
"100861554",-0.8324
"100861555",-0.2476
"100861573",-0.4691
"100862662",-0.2772
"100862671",-0.97075
"100862679",-0.0708
"100862680",0.7824
"100862704",-0.41545
"10087",1.378225
"100873923",0.3577
"100873930",-0.6098
"100873942",-1.1079
"100873954",0.0417
"100873964",-0.4205
"100873979",-0.2758
"100873985",-0.0721
"100874012",-0.563
"100874014",-0.556
"100874018",0.4385
"100874021",-1.0782
"100874032",2.3262
"100874034",0.3747
"100874035",-1.0444
"100874038",0.0621
"100874051",-0.5542
"100874063",-0.6071
"100874068",-0.29065
"100874069",0.541
"100874074",-0.0946
"100874107",0.0747
"100874110",-1.0893
"100874143",-0.2025
"100874167",-0.4417
"100874178",-0.2441
"100874180",-0.5574
"100874182",-1.2077
"100874187",-0.1495
"100874194",-0.3539
"100874195",-0.4039
"100874198",-0.4333
"100874205",-0.306433333333333
"100874238",-0.1973
"100874239",-0.7643
"100874241",-0.8388
"100874243",-0.5088
"100874251",-0.6275
"100874253",0.2022
"100874291",2.2353
"100874292",0.7313
"100874305",-0.5696
"100874309",0.0676
"100874314",-0.3094
"100874323",1.3729
"100874362",-1.0994
"100874375",0.0265
"100874433",-0.5157
"100885775",-0.2243
"100885778",-0.7352
"100885781",0.1641
"100885798",-0.5161
"100885848",0.0197
"10089",-0.1843
"1009",2.60955
"10090",1.1297
"10092",0.161433333333333
"10093",-1.04035
"10094",-1.2299
"10095",-2.4551
"10096",0.5188
"10097",-1.3286
"10098",0.690433333333333
"10099",0.52822
"100996246",-0.2268
"100996251",0.326
"100996279",-0.4348
"100996280",-0.2359
"100996286",-1.1205
"100996295",-0.8451
"100996301",-0.46155
"100996307",0.0669
"100996342",-0.7338
"100996345",-0.674
"100996385",0.2757
"100996425",-0.4542
"100996455",-0.4444
"100996485",-0.9143
"100996490",-0.19745
"100996492",0.5224
"100996511",1.4815
"100996539",1.823
"100996570",-0.774733333333333
"100996579",-0.32205
"100996583",-0.5139
"100996590",-0.2588
"100996597",-0.2965
"100996624",0.1345
"100996654",-0.3165
"100996671",-0.1911
"100996694",-0.5016
"100996702",-0.8306
"100996740",0.1711
"100996902",-0.2866
"101",-0.2501
"1010",0.0476
"10100",0.02835
"10101",-0.9699
"10102",0.941133333333333
"10103",-1.0269
"10105",-0.7153
"101055625",-0.5754
"101056700",-0.3356
"101059948",-0.571
"10106",-0.83975
"101060004",-0.2406
"101060019",-0.3399
"101060091",1.6567
"101060200",2.1108
"101060264",2.5527
"101060391",-0.6144
"101060544",1.2627
"101060691",0.9124
"10107",-0.486833333333333
"10109",-0.1213
"10110",-1.3003
"10111",2.3963
"10112",-0.6877
"10113",-0.1809
"10114",-1.0238
"10116",0.472033333333333
"10117",-1.1313
"1012",2.5743
"10120",0.1028
"10121",-1.5709
"10123",-0.578
"10124",0.6183
"101241892",2.1216
"10125",4.1997
"10126",-0.0687
"10127",0.6968
"10128",0.773
"10129",1.58486666666667
"1013",-0.5815
"10130",-0.6003
"10131",1.2573
"10133",-0.09625
"10134",-0.1889
"10135",0.461
"10136",-0.52215
"10137",-0.34445
"10138",0.40755
"10139",-0.93385
"1014",-0.4116
"10140",2.7422
"10141",-0.0969
"101410533",0.2479
"101410535",1.2246
"101410538",-1.261225
"10142",1.2518
"10143",-0.8463
"10144",1.48435
"10146",-0.70786
"10147",1.2016
"10148",-0.5851
"10149",-0.584
"1015",-0.75
"10150",0.564133333333333
"10151",0.1961
"10152",-1.08198
"10153",1.5793
"10154",-0.578866666666667
"10155",-2.0834
"10157",1.86955
"10158",-0.8769
"10159",-0.01585
"101593348",-0.8145
"1016",-0.7124
"10160",0.3048
"10161",1.0446
"10162",-1.1779
"10163",-0.0513
"10164",-1.372
"10165",-0.2182
"10166",-0.4188
"101669764",-0.4552
"10169",0.5692
"1017",-1.4641
"10170",-0.677733333333333
"10171",0.6861
"10172",0.8171
"10174",-2.61185
"10175",0.6125
"101752400",0.7067
"10178",2.06765
"10179",0.37945
"10180",0.9699
"101805491",-0.7673
"10181",-0.32695
"10184",-0.5939
"10186",-2.6361
"10188",-0.467825
"10189",0.3344
"1019",-0.5993
"10190",-0.2583
"101926888",0.8437
"101926890",0.0044
"101926903",0.2746
"101926906",-0.4342
"101926915",-1.0714
"101926928",-0.012
"101926942",-0.2598
"101926944",0.2372
"101926948",-0.5263
"101926951",-0.5102
"101926957",-0.5261
"101926962",-0.1332
"101926963",-0.0546
"101926975",0.7739
"101926978",-0.9456
"101926987",-0.7464
"101926996",0.6773
"101927003",-0.0249
"101927007",-0.7899
"101927017",-0.6333
"101927018",-0.2473
"101927020",0.1503
"101927021",-0.2617
"101927027",-0.4612
"101927034",0.1271
"101927038",-0.8365
"101927040",-0.0589
"101927043",-0.25235
"101927049",-0.471
"101927051",-0.1644
"101927058",-0.4121
"101927059",-0.0859
"101927066",0.2074
"101927067",-0.0741
"101927069",-0.0735
"101927074",-0.1814
"101927075",-0.8272
"101927081",0.338
"101927084",-1.2976
"101927096",-1.3936
"101927111",-0.439866666666667
"101927112",-0.0686
"101927115",-0.0506
"101927117",1.8514
"101927123",-0.2613
"101927125",-0.8538
"101927129",-0.4363
"101927131",-0.8784
"101927138",-0.2095
"101927143",-1.5109
"101927150",0.2107
"101927152",-0.6043
"101927157",-0.651
"101927159",-0.546
"101927164",-0.1304
"101927165",-0.2283
"101927166",-0.6093
"101927167",-0.4191
"101927174",-1.0837
"101927176",-0.9112
"101927193",0.1597
"101927195",9e-04
"101927196",1.0606
"101927204",1.1278
"101927211",0.0018
"101927219",-0.0658
"101927220",0.293
"101927224",-0.4349
"101927228",-0.1447
"101927237",0.1376
"101927244",0.1721
"101927249",0.0992
"101927256",-0.22
"101927257",0.2501
"101927272",0.2475
"101927273",-0.8719
"101927274",-0.1758
"101927275",0.3701
"101927279",2.1829
"101927282",-0.3554
"101927286",-0.5329
"101927292",0.0199
"101927295",0.00263333333333336
"101927305",0.5423
"101927310",-0.1316
"101927314",-0.0441
"101927320",-0.2376
"101927331",-0.6487
"101927342",-0.864
"101927348",-0.2123
"101927350",0.1062
"101927358",0.0714
