"Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","FDR","Human_EntrezGene.ID"
1.26460584346773,0.227380929724737,2.67285045836427e-08,0.81894741043601,1.71026427649945,5,3.49486151736285e-06,"8996"
1.04991988230618,0.18963030186688,3.08281443460578e-08,0.67825132026964,1.42158844434273,5,3.93416446886651e-06,"55744"
-1.63523252443874,0.296422537633118,3.45700758549587e-08,-2.21621002240562,-1.05425502647186,5,4.34221929164016e-06,"5799"
1.4861420012621,0.271219623287292,4.26582107193338e-08,0.954561307718485,2.01772269480571,5,5.31161472534798e-06,"8497"
-1.2945343714746,0.236714347452778,4.5319040475682e-08,-1.75848596710594,-0.83058277584325,5,5.56099487436984e-06,"9260"
-4.03906995528844,0.740535810441318,4.91790328338479e-08,-5.4904934730156,-2.58764643756127,5,5.98857963179803e-06,"4741"
-1.24570527287156,0.228682120100543,5.11336825211497e-08,-1.69391399217689,-0.797496553566232,5,6.1794280574044e-06,"92181"
1.68061693807164,0.308744437179922,5.22754914133705e-08,1.07548896077191,2.28574491537138,5,6.26991457914351e-06,"57407"
1.25014608931637,0.229820468002682,5.33811984720465e-08,0.799706249120969,1.70058592951176,5,6.307680577971e-06,"3385"
-1.09059481290807,0.201871273605304,6.57452276925569e-08,-1.4862552386877,-0.694934387128446,5,7.56552977863321e-06,"64101"
1.68048301816197,0.312613616314874,7.6331784637023e-08,1.067771589108,2.29319444721595,5,8.63577750730348e-06,"136"
-2.67753567405333,0.499277454888613,8.19321395817089e-08,-3.65610150392783,-1.69896984417883,5,9.02583870647528e-06,"55506"
2.571586667729,0.485222103835648,1.15921015791167e-07,1.62056881970837,3.52260451574962,5,1.18536669480814e-05,"4071"
2.10020830776644,0.402942736031762,1.86638725996445e-07,1.31045505731216,2.88996155822072,5,1.83781540561438e-05,"205"
-1.30742578856548,0.251336357069532,1.97264774815894e-07,-1.80003599642726,-0.814815580703694,5,1.9187607852824e-05,"2774"
-2.57234938154077,0.49543662824587,2.07951352303643e-07,-3.54338732952464,-1.60131143355691,5,1.99833733249862e-05,"4826"
-2.00333313011347,0.392688477059849,3.36823016073768e-07,-2.77298840229466,-1.23367785793229,5,3.08793146690158e-05,"1846"
1.00384897192591,0.198084855981606,4.02498201139095e-07,0.615609788319157,1.39208815553266,5,3.58695603607309e-05,"6119"
1.15606182191965,0.228760749723401,4.33593922889411e-07,0.7076989913854,1.60442465245389,5,3.84260569885105e-05,"2729"
-1.32059582147447,0.266260674216876,7.05710734252183e-07,-1.8424571534389,-0.798734489510045,5,5.89397781821509e-05,"27092"
1.25418241899675,0.252967872169554,7.12693621489475e-07,0.758374500298695,1.74999033769481,5,5.92129617187506e-05,"100093630"
-1.34191084852898,0.270914133926314,7.29766091979488e-07,-1.87289279392741,-0.810928903130542,5,6.03172471464082e-05,"25999"
-1.07466675914708,0.217691580849517,7.9476632264199e-07,-1.50133441734972,-0.647999100944433,5,6.46842468305358e-05,"23522"
-1.31363727310573,0.266182519077167,8.01098218995114e-07,-1.83534542381113,-0.791929122400341,5,6.48686232964977e-05,"4094"
-1.74670948975676,0.354684329886872,8.44952713134842e-07,-2.44187800221575,-1.05154097729777,5,6.80741701006414e-05,"1612"
-1.12540876459222,0.228797831709997,8.70802905896967e-07,-1.57384427448467,-0.676973254699765,5,6.95748171629252e-05,"7041"
-1.98411613518453,0.404837701466012,9.53421907880395e-07,-2.77758344964189,-1.19064882072716,5,7.56665983806371e-05,"9315"
1.27683071791258,0.26226597761844,1.12472808246627e-06,0.762798847410245,1.79086258841491,5,8.63212201659336e-05,"1978"
-1.19560880880043,0.246049054235064,1.17843501653234e-06,-1.6778560935313,-0.713361524069564,5,8.95161684939236e-05,"10079"
1.38506327422324,0.292933518701147,2.26461853669247e-06,0.810924127704406,1.95920242074208,5,0.000159480538790094,"54995"
-1.81966293098498,0.386139033831182,2.44749796619346e-06,-2.57648153031919,-1.06284433165077,5,0.000168286584296198,"5087"
-1.79958034771372,0.385181015324895,2.98225739301281e-06,-2.55452126527908,-1.04463943014835,5,0.000200503894091749,"7570"
2.98547271103496,0.647125436274771,3.96063527539432e-06,1.71713016245664,4.25381525961328,5,0.000257877771073837,"3397"
-1.81794423868848,0.394276628875667,4.0105595734807e-06,-2.59071223123065,-1.04517624614631,5,0.000260005546096899,"54874"
