"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"100505474",-0.4327,0.2226
"100505478",1.4587,2.1169
"100505483",0.0883,1.9219
"100505495",-3.5472,-1.8675
"100505515",-0.7472,-1.2303
"100505518",-1.9664,-1.0532
"100505534",-3.0839,-0.6844
"100505536",-0.6634,1.915
"100505538",3.63035,3.1183
"100505540",0.6734,0.5678
"100505545",0.0267,-0.141
"100505547",1.8967,1.7902
"100505555",0.7026,-1.1207
"100505570",-0.1594,-0.0517
"100505573",-1.29425,1.52965
"100505576",-0.5135,-0.0293
"100505583",-2.9901,-1.223
"100505592",-0.9933,1.238
"100505601",-0.8053,0.1945
"100505609",0.90315,1.2526
"100505616",0.6821,3.6238
"100505619",-1.796,-2.4199
"100505621",-0.5637,-0.8196
"100505624",-1.4641,-0.918
"100505633",1.87565,0.37055
"100505635",-1.0191,-1.1055
"100505641",-1.4279,-1.8671
"100505658",-0.3479,-0.0708
"100505659",-0.9113,-0.5273
"100505666",1.5978,1.469
"100505676",-0.6166,-0.1051
"100505681",-1.2693,-0.5144
"100505683",-0.4189,0.0653
"100505685",0.754,0.2291
"100505687",1.5785,1.5667
"100505696",1.6657,-1.7082
"100505702",2.3559,0.9935
"100505715",-2.8161,-2.3369
"100505716",0.0455,0.2543
"100505718",0.1648,0.6459
"100505738",-1.537,1.16765
"100505741",-0.1408,-2.449
"100505746",-0.12245,-0.81965
"100505758",-1.5473,-0.6542
"100505761",0.3392,0.5819
"100505768",1.7386,1.5741
"100505774",-0.256,1.1799
"100505776",-1.1643,-1.1382
"100505782",-1.022,-0.96
"100505783",-1.0166,0.7628
"100505806",0.3091,0.7952
"100505811",-0.3754,0.2541
"100505812",-1.5191,2.413
"100505824",1.238,0.0796
"100505826",1.5984,-0.1256
"100505832",-0.7458,-0.0298
"100505835",0.2963,1.5428
"100505839",0.4641,0.7965
"100505841",0.2307,1.5577
"100505851",0.5618,0.46735
"100505853",-1.3198,-1.3043
"100505854",1.97335,5.1972
"100505865",-1.9348,1.8741
"100505875",0.2073,0.1288
"100505876",1.7795,4.30146666666667
"100505877",0.2251,0.5939
"100505878",-0.2206,0.3317
"100505879",-0.48575,-0.3677
"100505881",1.37916666666667,1.6815
"100505890",-1.3886,0.7257
"100505893",-2.3052,-1.8528
"100505894",3.0403,-2.88235
"100505912",0.9389,0.0991
"100505918",-0.2437,0.7485
"100505920",-0.239,1.1673
"100505929",-0.4955,0.137
"100505933",-1.09305,0.3286
"100505942",1.6992,2.1024
"100505964",-0.1836,0.1845
"100505967",-2.5293,-3.113
"100505975",1.4658,1.0933
"100505978",-0.9943,0.2886
"100505984",-0.3744,0.7096
"100505989",0.0163,2.0813
"100506012",-0.7207,0.7627
"100506013",4.4856,0.0642
"100506016",-1.6086,-2.198
"100506022",-0.706,-1.6477
"100506025",-0.37345,0.5285
"100506046",-0.9779,-2.2931
"100506047",1.0553,3.2437
"100506049",-3.1838,-0.2272
"100506050",-2.4799,-1.8697
"100506054",0.6066,-0.7533
"100506068",-2.7111,-1.2296
"100506070",-0.5396,0.0454
"100506071",-0.9894,-0.3294
"100506076",1.1264,-0.8215
"100506082",0.2935,0.1328
"100506084",-0.9503,-0.26905
"100506107",-0.9824,1.1593
"100506108",-0.0838,1.82
"100506113",0.8899,1.7306
"100506115",-1.0111,-0.6556
"100506119",2.9304,2.3947
"100506122",0.6303,1.8354
"100506124",2.9392,0.5196
"100506125",-4.1838,-2.8625
"100506126",-0.1121,1.4049
"100506127",-0.663933333333333,-0.907733333333333
"100506142",0.19465,0.2405
"100506144",3.3139,3.5551
"100506161",1.6839,1.4418
"100506172",0.292,0.0708
"100506175",-2.2812,-0.5827
"100506190",3.5031,0.3582
"100506195",-0.666025,-0.171675
"100506207",-0.8465,-0.0972
"100506211",3.0373,2.382
"100506215",-0.5525,-1.31755
"100506229",0.5977,0.8663
"100506233",0.51205,-1.0997
"100506237",-0.494,-1.2087
"100506243",4.5827,-1.452
