"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"100287467",0.1602,0.2344
"100287482",2.3041,1.093
"100287497",0.55305,0.36565
"100287569",0.3457,0.2381
"100287616",2.4758,0.9285
"100287765",-0.0601,-0.21915
"100287808",-0.0564,0.0179
"100287814",-0.0365,0.0366
"100287902",-0.117,-0.058
"100287932",-0.43705,-0.2495
"100288079",0.1038,0.0406
"100288122",-0.1691,-0.027
"100288123",0.1483,0.1057
"100288152",-0.3359,0.6614
"100288175",-0.209,0.0425
"100288181",-0.1895,-0.0323
"100288198",-0.14985,-0.0898
"100288413",-0.2513,-0.1939
"100288432",0.0587,0.14975
"100288730",-0.3936,-0.1673
"100288797",-0.02895,0.091
"100288805",-0.0992,-0.0726
"100288911",0.0303,-0.3406
"100289019",0.1374,0.183
"100289061",-0.0779,0.1121
"100289092",-0.1337,0.057
"100289098",0.891,1.2013
"100289137",-0.0031,-0.0024
"100289187",0.0927,0.813
"100289230",-0.0681,0.0785
"100289274",-0.2391,0.1679
"100289341",0.1099,-0.2243
"100289361",0.4289,0.2276
"100289373",0.3674,0.18535
"100289410",-0.3021,0.1244
"100289495",0.1575,0.0577
"100289509",0.1478,0.1159
"100289635",-0.4753,-0.1377
"100289678",0.07685,0.1663
"100292680",-0.0845,0.003
"100293516",-0.5351,-0.4718
"100294362",-0.036,-0.0653
"100294720",-0.0868,-0.0463
"1003",-0.18,0.6609
"100302522",0.0409,-0.0516
"100302650",0.2374,0.29
"100302691",-0.0682,0.00435
"100302740",-0.0101,-0.0801
"100303728",0.3622,0.2201
"100306951",0.3887,0.1717
"100309464",-0.4463,-0.3901
"100310756",0.8453,0.2208
"100316868",0.016,0.0877666666666667
"100316904",0.01145,0.01605
"100329135",-0.2221,-0.1252
"100359394",-0.0881,-0.0111
"10036",-0.3895,-0.496033333333333
"100379174",-0.0846,0.1126
"100379661",0.0843,-0.0019
"10038",-0.350766666666667,-0.1504
"100381270",1.0392,0.1968
"10039",1.0409,0.6835
"1004",-0.02404,-0.72242
"10040",-0.0493,-0.1912
"100419583",-0.5099,0.4865
"10042",-0.00545,-0.26555
"100421436",0.8158,0.2878
"100421577",0.2075,-0.0083
"100422212",-0.0274,0.0508
"100422737",-0.03755,0.04375
"100423062",-0.11895,-0.0696
"10043",-0.1402,0.0382
