"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"954",-3.8299,-1.874
"955",6.3601,10.3868
"956",-2.366,7.0583
"957",1.0986,-1.6883
"958",-1.9264,-13.6001
"960",-6.0537,3.794
"961",-11.5801,-6.6449
"963",-0.5827,-0.8669
"965",2.1889,6.6542
"966",-12.6344,-5.0188
"967",-3.9808,4.8608
"968",-3.2618,4.1318
"970",-6.3573,10.4042
"971",3.8192,5.6039
"972",-9.3608,-2.4181
"973",1.9372,0.3593
"975",-0.4727,0.1628
"976",7.0395,7.8325
"977",-4.263,7.3896
"978",1.844,2.2516
"983",-1.9058,0.6088
"984",1.5626,6.0499
"987",-3.3363,-0.635
"988",0.5548,1.9244
"989",-4.9035,-2.0333
"990",1.5389,2.5823
"991",1.3287,6.0715
"993",5.0418,4.7612
"994",0.3032,-1.1442
"995",-1.7703,0.8301
"996",-2.5658,-0.1567
"997",2.5632,3.4116
"998",-8.9145,-0.4638
"999",-13.0609,-14.1859
"1000",-2.3718,-8.3289
"1001",-11.8829,-12.8504
"1002",-3.2902,-4.6861
"1003",-18.081,-20.9492
"1004",17.1423,1.562
"1006",1.3158,5.6175
"1008",-14.6532,-13.7494
"1009",-23.0572,-24.9161
"1010",-1.1876,6.7206
"1012",-15.6711,-10.4541
"1013",7.7763,0.3627
"1016",-10.1076,-9.329
"1017",2.8045,5.1695
"1018",1.6136,-1.3128
"1019",6.5952,2.6413
"1020",6.3084,3.1344
"1021",-21.5719,-3.8786
"1022",0.1652,-1.0012
"1024",2.4253,0.8365
"1025",-0.1085,1.3224
"1026",-2.7916,-5.4387
"1027",-1.6072,0.5696
"1028",2.5377,2.9711
"1029",1.6419,12.529
"1030",-9.2544,6.5208
"1031",-7.1869,5.83
"1032",-6.5226,1.4091
"1033",-5.0674,3.0364
"1036",-13.9859,-2.3646
"1038",1.3361,-0.4769
"1039",1.5011,-4.0938
"1040",-7.5941,9.1388
"1041",0.2301,4.3516
"1047",-6.1392,3.9728
"1050",7.7678,2.1361
"1051",4.3917,4.0953
"1052",-3.2793,-5.1634
"1054",-4.2082,-0.4597
"1056",3.7116,0.3642
"1058",1.1196,2.4518
"1059",8.5793,8.4852
"1060",-1.596,-0.5436
"1062",-3.1405,1.7873
"1063",2.3678,1.1046
