"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"627",-7.0494,-0.3435
"629",-9.1859,-3.6804
"631",1.7047,1.1996
"632",0.4388,-0.8485
"633",-5.9234,-8.0193
"634",-4.5059,-5.6529
"636",-1.1372,1.1501
"637",0.1542,-0.5703
"638",2.458,3.745
"639",-1.7531,0.9084
"641",1.1667,0.5078
"642",1.2639,1.0564
"644",-0.0297,0.5645
"645",0.8741,3.5156
"648",0.8411,0.6967
"649",-0.4538,-0.8175
"650",-0.3231,1.0029
"652",-2.3427,7.1525
"653",2.9447,-5.5182
"654",-6.0041,-2.2864
"655",1.3336,-11.047
"656",3.4582,2.2816
"657",-0.6642,-1.0314
"658",-0.6671,-2.4854
"659",-2.2553,-1.6065
"661",1.5593,0.0421
"662",0.062,0.4479
"663",-0.6318,-0.5335
"664",0.3881,1.3553
"665",-1.7727,-0.4466
"666",-0.9639,-3.1136
"667",-1.796,-0.041
"668",5.1411,3.7666
"669",-0.4691,0.8673
"670",1.0366,-0.0429
"672",1.0788,0.8537
"673",-0.7205,-0.7883
"675",-0.3466,-0.3066
"677",-0.8436,1.1541
"678",-1.8448,-1.7239
"682",1.1353,1.5631
"683",-1.3534,3.5013
"684",-0.9676,-1.2215
"685",-3.3804,5.1172
"686",-1.4616,-0.7684
"687",0.6945,3.1993
"688",-6.141,-0.9944
"689",0.8055,0.7762
"694",-1.0837,-1.0649
"695",4.184,2.1813
"696",-1.1905,1.03
"699",0.5239,0.7663
"701",0.2056,0.0685
"705",2.0728,1.3894
"706",2.0817,1.0919
"708",1.9458,0.2915
"710",-0.9499,-7.5079
"715",-6.1186,-1.4661
"716",-4.4061,-4.3299
"717",-3.9761,-2.0608
"718",-7.5524,-1.3188
"719",-4.3114,-1.6335
"720",-1.2288,-4.8308
"726",1.0889,-2.1776
"727",-1.647,-0.0273
"728",-1.5616,-1.3532
"733",0.2225,1.4533
"734",-0.8865,-0.4832
"738",0.7734,0.6414
"740",-0.3955,0.3641
"741",1.6341,1.1582
"745",7.8473,3.4812
"746",-0.3355,-0.3041
"747",3.1728,0.8969
"750",2.7239,0.708
"752",1.4427,4.1005
"753",6.0648,1.3992
"754",-0.4073,-0.1443
"755",0.4859,-0.1288
"757",-0.8531,-1.0552
"760",5.4149,4.6168
"761",-5.2166,1.1947
"762",-2.2082,-2.8686
"766",-0.9956,0.572
"767",-1.4309,6.5229
"770",0.5409,0.0245
"771",0.9443,-1.2156
"773",0.8562,0.045
"774",0.4855,-5.042
"775",-9.3554,-10.3761
"777",7.1285,1.0779
"778",-1.983,-1.9388
"780",0.8401,0.6427
"781",-2.9758,-0.9438
"782",0.2231,0.1052
"783",-2.8041,-5.1
"784",-1.325,-0.2237
"785",1.0653,-0.3066
"786",-1.9536,-0.6298
"788",-0.5462,-0.0965
"790",1.6826,-0.0938
"793",-5.8807,-2.8838
"794",3.3897,-1.5294
"800",-2.8193,-1.5643
"801",0.5192,-0.2225
"805",-1.0588,-0.8077
"808",-1.2403,-0.2302
"811",-0.5923,-0.44
"813",-0.7333,-0.845
"814",-2.5337,0.0111
"815",-1.191,-4.9479
"816",7.68,4.2015
"817",-0.5499,-0.7763
"818",0.5145,0.4883
"819",0.4009,0.1743
"821",0.118,0.5103
"822",-4.9271,-1.2492
"823",-1.6117,-1.0164
"824",-2.1833,-1.3376
"825",-2.3719,-2.8336
"826",-1.0561,0.1261
"828",0.0497,2.3259
"829",-1.554,-0.2562
"830",-0.4194,-0.5548
"831",-3.0941,0.2372
"832",-1.2649,0.0097
"833",-0.8152,0.5801
